,Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation,DPed
14,55,1,169.31,171.99,interesting so [that]'s ten twenty,,[prb],"interesting so purple block, red block, blue block's ten twenty"
15,56,1,172.56,183.58,so we said [this] ones thirty i still feel like [that]'s heavier and [this] one is twenty,,[p] [prb] [g],"so we said purple block ones thirty i still feel like purple block, red block, blue block's heavier and green block one is twenty"
16,57,2,174.54,185.08,yeah yeah the blue dark blue one is thirty [that]'s the larger one [it]'s slightly heavier yeah,a20-GreenBlock,[p] [prb],"yeah yeah the blue dark blue one is thirty purple block's the larger one purple block, red block, blue block's slightly heavier yeah"
17,58,3,185.33,187.83,we can replace one of [these] with the twenty to get,,[rb],"we can replace one of red block, blue block with the twenty to get"
18,60,1,189.91,196.44,ok and then put [that] on [that] one,"a36-BlueBlock, a37-BlueBlock, a228-BlueBlock, a229-GreenBlock, a49-BlueBlock, a58-GreenBlock",[b] [y],ok and then put blue block on yellow block one
19,61,2,198.15,202.14,how much is the dark blue small one ten,,,how much is the dark blue small one ten
20,62,1,200.31,201.37,ten [they]'re both,,[rb],"ten red block, blue block're both"
21,63,1,203.49,204.34,assuming [that] [this] was,,[-] [-],assuming that this was
22,64,2,204.58,206.37,oh gosh i think i got [them] mixed up,,[-],oh gosh i think i got them mixed up
23,65,1,207.06,210.87,yeah im thinking [that] [it]'s ten ten twenty thirty,,[-] [rbgyp],"yeah im thinking that red block, blue block, green block, yellow block, purple block's ten ten twenty thirty"
24,69,2,216.16,217.66,[it]'s just like slightly,,[-],it's just like slightly
25,71,1,228.06,231.51,and now [it] stopped being too heavy,,[-],and now it stopped being too heavy
26,72,1,231.54,233.52,so [this] is supposedly,,[pg],"so purple block, green block is supposedly"
27,73,1,234.27,239.82,thirty fourty fifty correct and [it]'s still heavier than [this] thing,,[pg] [y],"thirty fourty fifty correct and purple block, green block's still heavier than yellow block thing"
28,76,1,251.88,258.72,so thirty [this] is also forty right so [this] if forty yeah,"a43-PurpleBlock, a61-GreenBlock, a62-BlueBlock",[pb] [pb],"so thirty purple block, blue block is also forty right so purple block, blue block if forty yeah"
29,77,2,254.63,255.31,ok so [that] one's twenty right,,[g],ok so green block one's twenty right
30,79,1,260.01,263.82,[this] is fifty [it]'s not,"a44-GreenBlock, a54-GreenBlock",[pg] [-],"purple block, green block is fifty it's not"
31,80,1,264.93,267.36,yo [that]'s close enough ok so,,[-],yo that's close enough ok so
32,81,3,268.08,272.58,yeah fifty so we say yellow is fifty,"a45-YellowBlock, a46-PurpleBlock, a55-YellowBlock, a56-PurpleBlock",,yeah fifty so we say yellow is fifty
33,83,3,274.26,280.32,and green is twenty ok so which one is blue and which one is purple,,,and green is twenty ok so which one is blue and which one is purple
34,85,1,275.83,277.75,i think [that]'s i think [that]'s good,,[-] [-],i think that's i think that's good
35,86,2,281.25,283.48,i think [this] one is purple and [this] one is blue,,[p] [b],i think purple block one is purple and blue block one is blue
36,87,3,282.25,286.26,ok so blue is ten and purple is,a214-BlueBlock,,ok so blue is ten and purple is
37,89,1,288.92,292.47,yes verify real quick but i think [it] is,"a215-PurpleBlock, a47-GreenBlock, a65-PurpleBlock, a57-None, a119-PurpleBlock, a64-RedBlock",[p],yes verify real quick but i think purple block is
38,91,1,295.32,304.62,yeah we got [them] yeah,"a66-PurpleBlock, a67-GreenBlock, a120-PurpleBlock, a121-None, a122-RedBlock",[-],yeah we got them yeah
39,94,1,304.68,305.58,[that] looks good to me,,[-],that looks good to me
40,97,1,308.28,312.3,uh blue yeah so you said purple sweet,,,uh blue yeah so you said purple sweet
41,98,2,312.93,315.42,purple is thirty red is twenty yellow is fifty,,,purple is thirty red is twenty yellow is fifty
