Participant,Start,End,Transcript,keywords,Action_Objects
1,642.92,650.75,weights of the prior blocks and use it oh okay so these are ten ten twenty thirty,"it, these","a60-YellowBlock, a113-RedBlock, a114-GreenBlock, a124-PurpleBlock"
1,652.5,666.91,fifty it's fibonacci or something right one one two three five wait eight eighty maybe yeah,it,a62-RedBlock
3,655.31,666.42,wait wait what's two three five eight thirteen twenty eighty yeah that's fibonacci definitely,that,a63-MysteryBlock
1,667.63,669.41,ah i mean that's,that,
2,668.13,677.25,ten ten this is what twenty right one plus one two yup two plus one three yup three plus two five oh yeah that's fifty,"this, that","a64-GreenBlock, a65-YellowBlock"
2,677.75,685.81,and five plus three eight yeah let's go for eighty then that's a pattern that's it,"that, that, it",a116-MysteryBlock
3,681.34,692.64,like just because of just becasuse that's fibonacci because i'm not sure what this hint is this is saying relationship between the weights which means,"that, this, this","a66-RedBlock, a67-BlueBlock"
2,692.91,704.0,yeah it's is is there any other series i'm not missing out i mean ten twenty thirty fifty,it,
3,693.27,705.56,is that the pattern or is that you know just use those weights right that that is true anyway and also i mean,"that, that, those, that, that","a68-MysteryBlock, a69-MysteryBlock"
3,722.25,726.0,this is eight rb i think that that is eighty,"this, that, that",a70-MysteryBlock
1,727.0,728.5,this is nine rb so,this,a117-YellowBlock
3,730.0,731.5,oh no they don't have any hints here,they,a118-PurpleBlock
3,737.02,741.65,it's cool we have to i guess eighty alright,it,
2,758.06,758.34,what's this,this,
1,765.12,766.67,can you read it out loud or something,it,
3,766.92,771.42,well the factory that creates the wooden blocks did not send us the second mystery block,"mystery, that",
3,771.68,780.09,you have two opportunities to estimate the weight of the second block explain in one two sentences how you determined your estimate indicate the weight of the second mystery block,mystery,
1,781.87,792.67,fibonacci like let's say that's the first one according to our translate thirteen one thirty,that,
2,784.03,795.67,eight that's the first one so eight plus five thirteen yeah there is one thirty eight plus five,that,
3,784.47,786.52,is that the first mystery block or the second mystery block,"mystery, mystery, that",
2,796.75,797.25,just do it,it,
3,800.5,801.71,so that was the first mystery block,"mystery, that",
3,802.31,810.31,and we already did that now this is yeah oh okay okay okay okay right,"that, this",
2,803.38,809.83,yeah the second one means according to that statement is the second one mystery block two,"mystery, that",
1,814.08,816.56,makes sense to me as much sense as i can make of it,it,
2,816.17,819.15,yeah one thirty that's it,"that, it",
2,821.25,822.75,follows fibonacci series that's it,"that, it",
2,854.83,859.07,and it works and it works that's it,"it, it, that, it",
3,864.27,867.67,yeah it's one thirty it is i know that hang on a second one thirty,"it, it, that",
2,881.02,889.17,yeah so we got it right do not for fall but please identify yay we completed it yeah,"it, it",
3,884.57,888.92,okay so yeah fibonacci is what it is,it,
3,890.41,892.17,well they should ask this in gres,"they, this",
