Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation
120,3,324,330,just got stumped because [it] was like close. yeah.,"a39-PurpleBlock, a40-RedBlock, a123-PurpleBlock, a124-RedBlock",[-]
123,2,334,336,"20, 30 yup. so [this] is",,[-]
128,2,340,342,"so yellow is 50, [they] said yell-","a42-PurpleBlock, a43-PurpleBlock, a126-PurpleBlock, a127-PurpleBlock",[-]
131,2,343,344,cause [it] was 49.,,[y]
133,2,344,345,"so [this] is, yellow's","a44-GreenBlock, a128-GreenBlock",[y]
135,2,346,350,green is 20 uh.,,
136,2,350,354,"purple is 30, yeah.",,
138,2,356,357,blue? blue is,,
145,2,365,367,yeah so red is 10,,
147,2,367,368,blue is,,
150,2,371,372,uhm green is.,,
152,2,373,374,yellow is,,
156,1,380,381,mystery,,
158,3,382,384,mystery block?,,
